id,vpx_file_name,VPS-ID,image_file,display_name,show_in_arcade,favorite,notes
4,8 Ball (Williams 1966) 1.2.1.vpx,,8 Ball (Williams 1966).png,8-Ball,True,False,
0,Cuphead Pro PuP Perdition Edition (D. Goblett & Co 2020).vpx,,Cuphead Pro Wheel.png,Cuphead Pro Perdition Edition,True,True,
3,Fish Tales (Williams 1992) VPW v1.0.vpx,,,Fish Tales VPW,True,False,
1,Bond Final  timblo V1.10.vpx,,James Bond 007 Doctor No Pro Edition (Stern) (wheel).png,James Bond 007,True,True,
2,Bond 60th Anniversary Pup Part 1.vpx,,Bond 60th Anniversary Wheel SERGIOSOUZA.png,James Bond 60th Anniversary,False,False,
5,Funhouse (Williams 1990)_Bigus(MOD)1.6.vpx,I7Vd9HVoHn,,Funhouse,True,True,
